quarter,quarter_qf,hb,hbqf,location,location_qf,specialty,specialty_qf,specialty_name,specialty_name_qf,all_staffed_beds,all_staffed_beds_qf,total_occupied_beds,total_occupied_beds_qf,average_available_staffed_beds,average_available_staffed_beds_qf,average_occupied_beds,average_occupied_beds_qf,percentage_occupancy,percentage_occupancy_qf,hb_name,mean_tob,mean_aasb,mean_aob,mean_po
2020Q1,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,14896,NA,10915,NA,163.69230769230768,NA,119.94505494505496,NA,73.27470461868958,NA,The Golden Jubilee National Hospital,11954,170.6036288762997,130.8462209633017,76.7299830660662
2020Q1,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,14896,NA,10915,NA,163.69230769230768,NA,119.94505494505496,NA,73.27470461868958,NA,The Golden Jubilee National Hospital,11954,170.6036288762997,130.8462209633017,76.7299830660662
2020Q2,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,14366,NA,8101,NA,157.86813186813183,NA,89.02197802197803,NA,56.39008770708619,NA,The Golden Jubilee National Hospital,11954,170.6036288762997,130.8462209633017,76.7299830660662
2020Q2,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,14366,NA,8101,NA,157.86813186813183,NA,89.02197802197803,NA,56.39008770708619,NA,The Golden Jubilee National Hospital,11954,170.6036288762997,130.8462209633017,76.7299830660662
2020Q3,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15442,NA,9934,NA,167.84782608695653,NA,107.97826086956522,NA,64.33104520139878,NA,The Golden Jubilee National Hospital,11954,170.6036288762997,130.8462209633017,76.7299830660662
2020Q3,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15442,NA,9934,NA,167.84782608695653,NA,107.97826086956522,NA,64.33104520139878,NA,The Golden Jubilee National Hospital,11954,170.6036288762997,130.8462209633017,76.7299830660662
2020Q4,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15665,NA,11164,NA,170.27173913043478,NA,121.34782608695652,NA,71.26715608043409,NA,The Golden Jubilee National Hospital,11954,170.6036288762997,130.8462209633017,76.7299830660662
2020Q4,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15665,NA,11164,NA,170.27173913043478,NA,121.34782608695652,NA,71.26715608043409,NA,The Golden Jubilee National Hospital,11954,170.6036288762997,130.8462209633017,76.7299830660662
2021Q1,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,16547,NA,12060,NA,183.85555555555555,NA,134,NA,72.88330210914366,NA,The Golden Jubilee National Hospital,11954,170.6036288762997,130.8462209633017,76.7299830660662
2021Q1,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,16547,NA,12060,NA,183.85555555555555,NA,134,NA,72.88330210914366,NA,The Golden Jubilee National Hospital,11954,170.6036288762997,130.8462209633017,76.7299830660662
