quarter,quarter_qf,hb,hbqf,location,location_qf,specialty,specialty_qf,specialty_name,specialty_name_qf,all_staffed_beds,all_staffed_beds_qf,total_occupied_beds,total_occupied_beds_qf,average_available_staffed_beds,average_available_staffed_beds_qf,average_occupied_beds,average_occupied_beds_qf,percentage_occupancy,percentage_occupancy_qf,shb_name,hb_name,country_name
2016Q3,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,16413,NA,12380,NA,178.40217391304347,NA,134.56521739130434,NA,75.42801437884604,NA,The Golden Jubilee National Hospital,NA,NA
2016Q3,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,16413,NA,12380,NA,178.40217391304347,NA,134.56521739130434,NA,75.42801437884604,NA,The Golden Jubilee National Hospital,NA,NA
2016Q4,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,16117,NA,12049,NA,175.18478260869566,NA,130.9673913043478,NA,74.7595706396972,NA,The Golden Jubilee National Hospital,NA,NA
2016Q4,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,16117,NA,12049,NA,175.18478260869566,NA,130.9673913043478,NA,74.7595706396972,NA,The Golden Jubilee National Hospital,NA,NA
2017Q1,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15622,NA,11569,NA,173.57777777777778,NA,128.54444444444445,NA,74.0558187171937,NA,The Golden Jubilee National Hospital,NA,NA
2017Q1,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15622,NA,11569,NA,173.57777777777778,NA,128.54444444444445,NA,74.0558187171937,NA,The Golden Jubilee National Hospital,NA,NA
2017Q2,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15604,NA,11614,NA,171.47252747252747,NA,127.62637362637362,NA,74.42963342732632,NA,The Golden Jubilee National Hospital,NA,NA
2017Q2,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15604,NA,11614,NA,171.47252747252747,NA,127.62637362637362,NA,74.42963342732632,NA,The Golden Jubilee National Hospital,NA,NA
2017Q3,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15426,NA,11658,NA,167.67391304347825,NA,126.71739130434784,NA,75.57370672889927,NA,The Golden Jubilee National Hospital,NA,NA
2017Q3,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15426,NA,11658,NA,167.67391304347825,NA,126.71739130434784,NA,75.57370672889927,NA,The Golden Jubilee National Hospital,NA,NA
