hb,hb_name,lower_tob_ci999,upper_tob_ci999,lower_aasb_ci999,upper_aasb_ci999,lower_aob_ci999,upper_aob_ci999,lower_po_ci999,upper_po_ci999
S08000015,NHS Ayrshire and Arran,81184.49582142857,86960.2415,946.4209790901645,1028.7879987322633,885.2339013361811,957.3344559388248,92.33719749077038,94.38635760728431
S08000016,NHS Borders,17342.7835,18997.52414285715,217.3926446178304,228.43627749082353,189.10444275978506,209.82467414217084,86.4276251542902,92.276358221695
S08000017,NHS Dumfries and Galloway,28498.49907142857,30073.146535714288,360.0169235954694,392.35487424787084,310.7055395405319,330.01476778026154,81.0052947901713,89.5963780091846
S08000029,NHS Fife,54740.99732142857,57112.791071428575,702.535691624766,724.2324336261651,596.4926106579757,628.1099651067618,84.1685648590177,87.81603518409494
S08000019,NHS Forth Valley,50812.057357142854,53618.43646428572,617.4162255741928,711.740580340648,554.5076384360376,589.238081442867,79.70618218493279,93.23779269819254
S08000020,NHS Grampian,80655.58635714286,85204.66342857142,1057.0207696256987,1087.747157202201,879.3215041054269,938.8858103243807,82.59387070289033,86.44522192016495
S08000031,NHS Greater Glasgow and Clyde,307606.41057142854,318502.0887142857,3853.960115078323,4017.473199188148,3350.5716347997677,3511.3529585582896,85.98040776517703,88.33058730838553
S08000022,NHS Highland,42439.56539285714,43738.715607142854,524.181931868985,540.5577970843856,463.50813095863765,479.11040136509456,87.36428517758999,89.82737247790858
S08000032,NHS Lanarkshire,104515.2822142857,108123.43321428572,1298.54241781619,1341.9767564515885,1142.2086868787871,1186.5034060226265,86.9708080824678,89.26925183578024
S08000024,NHS Lothian,167612.0606785714,176034.14182142858,2054.117051854159,2128.1197677319146,1830.7403922084386,1930.9773658618299,88.5353834154445,91.23024798252828
S08000025,NHS Orkney,2969.9982142857143,3448.143535714286,33.37487150327244,38.78718809391092,32.42001222802387,37.87078083473635,97.12803424165475,97.6593499225937
S08000026,NHS Shetland,2280.928464285714,2644.7863928571433,43.00563574329398,48.13086629325644,25.036019483216922,28.829033428226367,53.56669251569466,63.08982373496623
S08000030,NHS Tayside,69293.56928571429,79107.46067857143,1046.252882830429,1128.2168191695298,758.3192875039816,868.9454624035902,68.6785101149716,80.60299000346232
S08000028,NHS Western Isles,4757.783214285715,5347.074678571429,68.59151308357792,72.9262019996739,51.83636503907582,58.674991962816364,73.945960360022,80.75133606180778
